room_id,host_id,total_score
8187595,30283594,3.0
12697772,27101834,3.0
11572370,47664830,3.0
5814485,5949009,3.0
4348422,22217451,3.0
8335838,30283594,3.0
12022134,19342870,3.0
12709469,67822066,3.0
7463250,37096230,3.0
5739119,18109786,3.0
13013196,10389396,3.0
12254831,36965419,3.0
10592815,47858156,3.0
12811191,23752099,3.0
6506506,33397159,3.0
4369675,22683865,3.0
1937433,10024266,3.0
12886660,54064917,3.0
10490133,54064917,3.0
10810443,5971513,3.0
10436811,20333008,3.0
9534326,32974291,3.0
9733952,20213683,3.0
12496332,11556349,3.0
8837755,46285032,3.0
10053235,30283594,3.0
9428208,6592128,3.0
4887325,2448751,3.0
12806707,4263511,3.0
11639480,61701374,3.0
5510597,17547008,3.0
12865252,23737110,3.0
8597118,19688680,3.0
12432696,67253528,3.0
11440702,389733,3.0
12559896,19073733,3.0
12320063,66462220,3.0
13081347,41932249,3.0
12428994,30283594,3.0
6208994,2568871,3.0
12006423,64209223,3.0
5291267,25844126,3.0
11021342,57191143,3.0
8815738,45824409,3.0
12866880,70350398,3.0
12917537,70846120,3.0
12504504,17517957,3.0
12419766,67175528,3.0
12305624,57923738,3.0
13000520,66654235,3.0
9696537,50074927,3.0
11917812,62705983,3.0
6862594,10608570,3.0
12855396,16052189,3.0
12426823,17549950,3.0
13077603,67103816,3.0
13079902,29227463,3.0
5868798,30473016,3.0
9710673,34332489,3.0
12994227,8582699,3.0
12844675,55208717,3.0
9607385,40633284,3.0
9550398,49456626,3.0
9349646,3900945,3.0
10127270,50345300,3.0
12849003,17917160,3.0
9607296,49712982,3.0
9615932,36388924,3.0
10052445,30283594,3.0
12023024,64331842,3.0
13015767,43544288,3.0
6613472,34609479,3.0
12586305,34832265,3.0
12904318,52601623,3.0
